,vid_name,frame,x,y,w,h,gender,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
53,sotu,15000,802,33,45,45,male,34.0,0.001,0.0,0.002,0.0,0.0,0.001,0.991,0.006,0.0
54,sotu,15000,547,621,44,44,female,42.0,0.843,0.0,0.006,0.0,0.0,0.843,0.151,0.0,0.0
55,sotu,15000,944,248,43,43,female,32.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,sotu,15000,1176,671,43,43,male,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.0,0.017
57,sotu,15000,627,265,43,43,female,33.0,0.006,0.002,0.0,0.005,0.0,0.006,0.966,0.014,0.006
58,sotu,15000,489,81,43,43,male,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,0.0
59,sotu,15000,256,427,43,43,female,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993,0.006,0.0
60,sotu,15000,98,442,43,43,female,56.0,0.003,0.001,0.0,0.0,0.0,0.003,0.99,0.005,0.0
61,sotu,15000,703,630,42,42,female,25.0,0.0,0.0,0.001,0.0,0.0,0.0,0.991,0.0,0.008
62,sotu,15000,475,261,41,41,female,48.0,0.001,0.001,0.089,0.0,0.0,0.001,0.902,0.007,0.0
63,sotu,15000,339,275,41,41,female,45.0,0.756,0.0,0.001,0.0,0.0,0.756,0.215,0.027,0.0
64,sotu,15000,676,466,41,41,male,70.0,0.996,0.0,0.0,0.0,0.0,0.996,0.003,0.0,0.0
65,sotu,15000,218,99,41,41,male,7.0,0.0,0.0,0.001,0.0,0.0,0.0,0.995,0.001,0.002
66,sotu,15000,616,108,39,39,female,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.005,0.0
67,sotu,15000,57,277,39,39,female,28.0,0.517,0.0,0.001,0.0,0.0,0.517,0.482,0.0,0.0
68,sotu,15000,740,90,39,39,female,22.0,0.006,0.0,0.0,0.0,0.0,0.006,0.991,0.001,0.003
69,sotu,15000,913,85,37,37,female,37.0,0.195,0.0,0.01,0.0,0.0,0.195,0.788,0.006,0.0
70,sotu,16000,990,610,62,62,male,59.0,0.999,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0.0
71,sotu,16000,267,652,62,62,male,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.002,0.0
72,sotu,16000,66,295,56,56,female,8.0,0.296,0.0,0.001,0.0,0.0,0.296,0.683,0.0,0.02
73,sotu,16000,1120,518,56,56,female,51.0,0.119,0.0,0.001,0.0,0.0,0.119,0.867,0.004,0.009
74,sotu,16000,1206,18,55,55,male,36.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
75,sotu,16000,885,503,54,54,female,25.0,0.407,0.0,0.095,0.0,0.0,0.407,0.491,0.006,0.0
76,sotu,16000,679,525,53,53,female,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.0,0.003
77,sotu,16000,1032,153,52,52,female,38.0,0.175,0.0,0.001,0.0,0.0,0.175,0.823,0.0,0.0
78,sotu,16000,505,326,52,52,female,39.0,0.985,0.0,0.0,0.0,0.0,0.985,0.015,0.0,0.0
79,sotu,16000,894,256,51,51,female,49.0,0.003,0.003,0.001,0.0,0.0,0.003,0.991,0.001,0.0
